Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-20;Kubisa AM et al.;14.09.2026;19.09.2026;Vasc Health Risk Manag;2026;Aortenchirurgie: Frauen berichten über schlechtere Lebensqualität in sozialen Beziehungen;Prospektive Kohortenstudie mit 150 Patienten (113 Männer, 37 Frauen) zur Erfassung von Lebensqualität, Krankheitsakzeptanz und psychischer Belastung 2 Jahre nach Aortenchirurgie mittels standardisierter Fragebögen.;"Frauen zeigten unmittelbar nach der Operation niedrigere WHOQOL-Werte in allen vier Domänen (Psychologisch: 58,4 vs. 68,1; p=0,001; Soziale Beziehungen: 59,0 vs. 69,6; p<0,001). Nach Adjustierung blieb das Defizit in der Domäne soziale Beziehungen persistent (adjustierte Differenz -6,86; 95%-KI -12,27 bis -1,44; p=0,013). Diese Beobachtung ist hypothesengenerierend und zeigt geschlechtsspezifische Unterschiede in psychosozialen Outcomes.";"Polen, vergleichbare Dokumentation wie deutsche Kliniken; Ursache nicht bestimmt.";42761883;https://pubmed.ncbi.nlm.nih.gov/42761883/
2026-09-20;Choi JY et al.;18.09.2026;19.09.2026;Medicine (Baltimore);2026;Schilddrüsenfunktion und Diabetes: Männer unter 65 Jahren stärker gefährdet;Querschnittstudie mit 4910 erwachsenen Koreanern zur Prüfung der Assoziation zwischen TSH-, freies T4- und TPOAb-Spiegeln und Diabetesrisiko, stratifiziert nach Geschlecht und Alter.;"Hohe TSH-Werte waren signifikant mit erhöhtem Diabetesrisiko assoziiert (OR=2,82; 95%-KI 1,26–6,32), besonders bei Männern unter 65 Jahren (OR=5,10; 95%-KI 1,65–15,77). Niedrige freies-T4-Werte zeigten erhöhtes Risiko (OR=2,08; 95%-KI 1,16–3,75), ebenfalls vornehmlich bei jüngeren Männern. Diese Unterschiede deuten auf biologische Geschlechtsvariabilität hin.";"Südkorea, nationale Gesundheitsdaten; biologische Unterschiede, nicht Zugangsweg relevant.";42760714;https://pubmed.ncbi.nlm.nih.gov/42760714/
2026-09-20;Barsha RAA et al.;Sept. 2026;19.09.2026;Cancer Med;2026;Brustkrebs: Schwarze Frauen haben doppelt so hohe Raten für triple-negative Subtypen;Bevölkerungsbasierte Analyse von 21.130 Brustkrebspatientinnen (64,4% Weiße, 35,6% Schwarze Frauen) zur Untersuchung von Inzidenztrends nach Rasse, Stadium und molekularem Subtyp im Zeitraum 2010–2019 in Mississippi.;"Schwarze Frauen hatten höhere Gesamtinzidenzraten als Weiße Frauen (178,0 vs. 159,1 pro 100.000). Schwarze Frauen zeigten höhere Inzidenzraten für HER2-überexprimierende Krebserkrankungen (IRR=1,55; 95%-KI 1,15–2,10) und triple-negative Krebserkrankungen (IRR=2,35; 95%-KI 1,74–3,17). Unterschiede deuten auf biologische Heterogenität und/oder Zugangsunterschiede hin.";"USA-Daten; Rasse/Ethnizität und biologische Subtypen, aber US-spezifische Screening-Praktiken.";42760641;https://pubmed.ncbi.nlm.nih.gov/42760641/
2026-09-20;Bsharat AM et al.;Sept. 2026;18.09.2026;Brain Behav;2026;Schlaganfall mit Herzinsuffizienz: Sterblichkeit steigt, Männer stärker betroffen;"Analyse von CDC-Todesursachendaten (1999–2023) für Erwachsene ≥15 Jahre mit Schlaganfall als Grundursache und Herzinsuffizienz als Nebendiagnose; Joinpoint-Regression zur Ermittlung von Trends und Disparitäten.";Die altersadjustierte Sterblichkeitsrate (AAMR) sank von 4,09 (1999) auf 2,74 (2023), stieg dann aber 2016–2023 um 5,38% jährlich. Das Männer-zu-Frauen-Verhältnis stieg signifikant 2009–2023. Schwarze Personen hatten die höchsten AAMRs. Ländliche Gebiete zeigten höhere Raten. Diese Unterschiede entstehen durch Zugangs- und Versorgungsfaktoren, Biologie nicht primär.;"USA, CDC-Daten; Geschlechts- und Rassen-Disparitäten dokumentiert, aber US-Zugangsmuster.";42755241;https://pubmed.ncbi.nlm.nih.gov/42755241/
2026-09-20;Ali ME et al.;18.09.2026;17.09.2026;Cancer Causes Control;2026;Multiples Myelom: Sterblichkeit sank, aber rassische Disparität verdoppelt sich;"Analyse nationaler US-Sterblichkeitstrends (1999–2024) für multiples Myelom nach Geschlecht, Alter, Rasse/Ethnizität, Region und Urbanisierung; ARIMA-Modelle für Projektion bis 2034.";"Die altersadjustierte AAMR sank von 37,6 auf 25,1 pro 1 Mio. (AAPC -1,8%; 95%-KI -2,1 bis -1,5; p<0,001), beschleunigt ab 2012 (APC -3,2%). Männer hatten durchgehend höhere Raten als Frauen (32,4 vs. 19,8 pro 1 Mio. 2024). Schwarze oder afrikanisch-amerikanische Personen zeigten 2024 mehr als doppelte Mortalitätsraten gegenüber Weißen (48,0 vs. 23,5 pro 1 Mio.). Disparitäten sind für 2034 persistierend prognostiziert.";"USA; Zugangs- und Versorgungsungleichheit, nicht Biologie; US-spezifische Therapieinnovationen.";42754761;https://pubmed.ncbi.nlm.nih.gov/42754761/
2026-09-20;Nye CM et al.;30.05.2026;15.09.2026;J Prof Nurs;2026;LGBTQ+-Unterricht in Pflegefakultäten: Engagement schlägt Expertise;Erklärende Mischstudie mit Umfrage (Phase I, n=196 Dozenten) und Interviews (Phase II, n=19) zur Erfassung von Erfahrungen von Pflegedozenten mit LGBTQ+-Inklusion in der Lehre an US-amerikanischen Schulen.;Selbstvertrauen mit LGBTQ+-Inklusion und Engagement zur Aufnahme von LGBTQ+-Inhalten hatten signifikante Auswirkungen auf die Aufnahme von Gesundheitsinhalten für LGBTQ+ in den Lehrplan (p nicht angegeben, qualitative Kernaussage: Commitment und interpersonale/institutionelle Faktoren wichtiger als Expertise). Strukturelle Barrieren wie fehlende institutionelle Unterstützung waren identifizierbar, aber überwindbar.;"USA; unterrichtsbasierte Intervention mit Vorkehrungspotential, aber US-Lehrkontext.";42744418;https://pubmed.ncbi.nlm.nih.gov/42744418/
2026-09-19;Martinez A et al.;18.09.2026;18.09.2026;Cancer Causes Control;2026;Mammografie: 45-Minuten-Training für Radiologen erhöht Wissen über trans Patienten signifikant;Pilotstudie zur Evaluation einer Schulungsintervention für Brustbildgebungsfachleute (klinische Unterstützungsfachleute, Technologen, Radiologen) zu LGBTQIA+-inklusive Mammografie-Screening-Praktiken.;Die 45-minütige Schulung mit Storytelling führte zu signifikant erhöhtem Selbstberichtswissen über LGBTQIA+-Terminologie (großer Effekt). Teilnehmende beantworteten mehr direkt getestete Wissensfragen korrekt (kleiner Effekt). Einstellungen zu Geschlechtsvielfalt zeigten Trend zu akzeptierender Haltung (mittlerer Effekt), erreichten aber keine statistische Signifikanz.;USA, aber Schulungsprinzipien unabhängig von Finanzierungssystem übertragbar;42758345;https://pubmed.ncbi.nlm.nih.gov/42758345/
2026-09-19;Czapla M et al.;03.09.2026;18.09.2026;Front Public Health;2026;Rettungsdienst: LGBTQ-Kompetenz hängt nicht von Geschlecht ab, sondern von Schulung;Querschnittstudie unter 172 polnischen Rettungsassistenten zur Identifikation von Faktoren, die gay-affirmativen Überzeugungen und Verhalten vorhersagen.;Höhere LGBTQ-Klinische Kompetenz war unabhängig mit affirmativen Überzeugungen (β = 3,85, 95%-KI 1,21–6,50, p = 0,005) und Verhalten (β = 7,29, 95%-KI 4,62–9,96, p < 0,001) assoziiert. Rechtsgerichtete politische Orientierung war mit niedrigeren affirmativen Überzeugungen (β = −12,26, p < 0,001) und Verhalten (β = −6,74, p = 0,013) assoziiert. LGBT-Klinische Kompetenz war der konsistenteste Prädiktor.;Polen, europäisches Gesundheitssystem, nachweisbar Schulungseffekt;42756002;https://pubmed.ncbi.nlm.nih.gov/42756002/
2026-09-19;Xia D et al.;03.09.2026;18.09.2026;Front Neurol;2026;Bewusstseinsstörungen: Testosteron zeigt Assoziationen mit besseren Ergebnissen bei Männern, nicht bei Frauen;Retrospektive Geschlechts-stratifizierte Studie zu Serum-Sexualhormonen als potenzielle prognostische Biomarker bei 119 Patienten mit prolongiertem Bewusstsein und Bewusstseinsbeeinträchtigung (pDoC).;Bei Männern zeigte die Gruppe mit gutem Outcome höhere Testosteronspiegel (p = 0,02). Nach logistischer Regression adjustiert für Alter, Krankheitsdauer und Ätiologie war log-transformiertes Testosteron mit günstigen Outcomes assoziiert (OR 2,97, 95%-KI 1,29–7,70, p = 0,02), überstand aber Bonferroni-Korrektur nicht (p_bonf = 0,10). Bei Frauen zeigten Sexualhormone keine klare prognostische Bedeutung. ROC-Analyse zeigte nur bescheidene Vorhersagekraft (AUC 0,656).;China, biologische Geschlechtsunterschiede, aber geringe klinische Prädiktivität;42755585;https://pubmed.ncbi.nlm.nih.gov/42755585/
2026-09-19;Matos do Amaral T et al.;16.09.2026;16.09.2026;Curr Hypertens Rep;2026;Blutdruck und Schlaf: Geschlechtsunterschiede in Schlafstörungen und Blutdruckrisiko erklären teilweise höheres Hypertonie-Risiko;Systematischer Review der Assoziationen zwischen Schlaf und Bluthochdruck mit Betonung von Geschlechtsunterschieden in der Blutdruckregulation.;Schlaf ist ein modifizierbarer Risikofaktor für Hypertonie. Schlafqualität, -dauer und Schlafstörungen (Insomnie, Schlafapnoe) sind mit erhöhtem Blutdruck assoziiert, mit geschlechtsspezifischen Unterschieden. Sex-spezifische hormonelle Einflüsse und autonome Dysfunktion tragen zu Unterschieden in den Assoziationen zwischen Schlafstörungen und Hypertonie-Risiko bei Männern und Frauen bei. Schlaf sollte als klinisch relevantes Ziel in die kardiovaskuläre Risikoeinschätzung einbezogen werden.;Überwiegend USA-Studien, aber Physiologie geschlechtsunabhängig;42744939;https://pubmed.ncbi.nlm.nih.gov/42744939/
